"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENSEMBL","ENTREZID","sig","dir","nlp","Mean_Ctrl","Mean_ZIKV","Label"
"ENSG00000119917",9264.24500534605,7.14379329394077,0.229396533270484,3.50807422467135e-214,5.86550010365049e-210,"IFIT3","ENSG00000119917","3437",TRUE,"Up",209.2316949532,18399.3840047614,129.106005930726,"IFIT3"
"ENSG00000108771",1946.43369039337,7.07775186519057,0.229345829443696,3.62391354264835e-210,3.02959172165402e-206,"DHX58","ENSG00000108771","79132",TRUE,"Up",205.518615894593,3864.41728130593,28.4500994808112,"DHX58"
"ENSG00000171522",2214.89032388744,5.78185028817896,0.189769015184524,6.30164942628083e-205,3.51211928024718e-201,"PTGER4","ENSG00000171522","5734",TRUE,"Up",200.454430742802,4351.33145972269,78.4491880521848,"PTGER4"
"ENSG00000141682",8627.30849912711,5.13078299445871,0.171039151213063,8.75522255527497e-199,3.65968302810494e-195,"PMAIP1","ENSG00000141682","5366",TRUE,"Up",194.436556528023,16779.1894260371,475.427572217094,"PMAIP1"
"ENSG00000185745",7613.38407875695,7.07354557063963,0.243351649148815,6.14052189051767e-187,2.05339052018911e-183,"IFIT1","ENSG00000185745","3434",TRUE,"Up",182.6875284473,15115.7003606186,111.06779689531,"IFIT1"
"ENSG00000136826",5761.59665896498,5.80158952455108,0.202639911048629,1.88860890344889e-181,5.26292347761091e-178,"KLF4","ENSG00000136826","9314",TRUE,"Up",177.278772944536,11321.7760663757,201.417251554239,"KLF4"
"ENSG00000260231",1702.88323360654,5.82431532515967,0.205565238825074,9.68881241458356e-178,2.31424205102624e-174,"KDM7A-DT","ENSG00000260231","100134229",TRUE,"Up",173.635591219314,3347.12407115648,58.6423960565987,"KDM7A-DT"
"ENSG00000105675",2034.83582021392,7.93212708141969,0.28260463628624,2.69252694963484e-174,5.62738132473682e-171,"ATP4A","ENSG00000105675","495",TRUE,"Up",170.249693655022,4053.15659414799,16.515046279848,"ATP4A"
"ENSG00000087085",3309.43270108112,7.16865043295458,0.260985181111147,3.93025995354525e-167,7.30154960258628e-164,"ACHE","ENSG00000087085","43",TRUE,"Up",163.136584960094,6573.77040649621,45.094995666034,"ACHE"
"ENSG00000118503",2809.2664301211,4.1242783606349,0.153217739934375,1.21480134090716e-160,2.03114784199676e-157,"TNFAIP3","ENSG00000118503","7128",TRUE,"Up",156.692258464273,5315.80228589326,302.730574348938,"TNFAIP3"
"ENSG00000115267",3311.98374097199,5.71767333919101,0.216925734749931,2.6058424625777e-154,3.9608805431181e-151,"IFIH1","ENSG00000115267","64135",TRUE,"Up",150.402208255361,6501.48196220011,122.485519743867,"IFIH1"
"ENSG00000119922",21948.0118555502,8.00689220413562,0.305241222551064,7.10970445048092e-153,9.90618820100341e-150,"IFIT2","ENSG00000119922","3433",TRUE,"Up",149.004093425407,43728.3004141401,167.723296960316,"IFIT2"
"ENSG00000139192",6242.45058568405,5.92618902238364,0.226917743494114,9.42945734131922e-152,1.21277328266813e-148,"TAPBPL","ENSG00000139192","55080",TRUE,"Up",147.916220379091,12285.1530474389,199.748123929169,"TAPBPL"
"ENSG00000162772",8380.91117768018,6.80052416169665,0.260687664553103,2.67822417347131e-151,3.19856487003145e-148,"ATF3","ENSG00000162772","467",TRUE,"Up",147.495044836939,16614.412387636,147.409967724325,"ATF3"
"ENSG00000105559",10904.2255274487,7.37966157749416,0.283789614916897,2.46786691687058e-150,2.75084899000508e-147,"PLEKHA4","ENSG00000105559","57664",TRUE,"Up",146.560533249889,21679.9671662937,128.483888603772,"PLEKHA4"
"ENSG00000146592",1553.33393007083,6.57741025961613,0.256268617844089,2.18968430036013e-146,2.28822009387634e-143,"CREB5","ENSG00000146592","9586",TRUE,"Up",142.640502204984,3074.80661001111,31.8612501305457,"CREB5"
"ENSG00000163644",1521.25012948341,5.53510464352442,0.216916335959808,9.21941985019269e-145,9.06757058207187e-142,"PPM1K","ENSG00000163644","152926",TRUE,"Up",141.042509055181,2978.90643472031,63.5938242465124,"PPM1K"
"ENSG00000107201",2658.2061024944,4.32198402419987,0.172329268926613,6.69822892924615e-140,5.89444145773661e-137,"RIGI","ENSG00000107201","23586",TRUE,"Up",136.229557341258,5065.16483318174,251.247371807055,"RIGI"
"ENSG00000172183",3334.93610565301,4.8371554229082,0.19296632897085,1.01432581409448e-139,8.47976380582987e-137,"ISG20","ENSG00000172183","3669",TRUE,"Up",136.071616244353,6446.72421937701,223.147991929006,"ISG20"
"ENSG00000105327",3269.90546689251,3.94796255664282,0.159227186747069,9.53501067056155e-137,7.59168468627567e-134,"BBC3","ENSG00000105327","27113",TRUE,"Up",133.119661838233,6144.63158699136,395.179346793663,"BBC3"
"ENSG00000087074",22322.1034323978,4.9775951361086,0.201531400434688,5.86079111568969e-136,4.26054032410138e-133,"PPP1R15A","ENSG00000087074","23645",TRUE,"Up",132.370535319936,43280.7750778704,1363.43178692521,"PPP1R15A"
"ENSG00000116106",787.582109418956,5.07438731866996,0.206493302815765,6.86189150694177e-135,4.78045108316943e-132,"EPHA4","ENSG00000116106","2043",TRUE,"Up",131.320531121445,1530.68179090575,44.4824279321608,"EPHA4"
"ENSG00000271503",18922.9189271789,8.66648076301287,0.357510152051534,5.50761056665853e-131,3.54181725671271e-128,"CCL5","ENSG00000271503","6352",TRUE,"Up",127.450773850387,37754.6811142217,91.1567401361098,"CCL5"
"ENSG00000173114",805.227687799097,6.19529267929776,0.258538862506925,8.33003424420496e-128,4.97422044868239e-125,"LRRN3","ENSG00000173114","54674",TRUE,"Up",124.303274971474,1588.98862261593,21.4667529822601,"LRRN3"
"ENSG00000153993",669.023452254697,5.26206010467162,0.22033723048512,5.84199706338154e-127,3.36821347930136e-124,"SEMA3D","ENSG00000153993","223117",TRUE,"Up",123.472600390467,1304.45932854956,33.5875759598312,"SEMA3D"
"ENSG00000049249",1043.44836623943,5.59372887608157,0.2345454723821,8.57829290955188e-127,4.78096858159025e-124,"TNFRSF9","ENSG00000049249","3604",TRUE,"Up",123.320484110286,2045.03562285717,41.8611096216952,"TNFRSF9"
"ENSG00000137965",1358.36876719766,7.57807588920813,0.319437762612956,1.71631799886519e-125,9.25704417452452e-123,"IFI44","ENSG00000137965","10561",TRUE,"Up",122.033527663817,2702.69023176352,14.0473026317988,"IFI44"
"ENSG00000153253",942.564956105777,7.60726326093992,0.322260900660825,1.08759314909743e-123,5.68267420403405e-121,"SCN3A","ENSG00000153253","6328",TRUE,"Up",120.245447241975,1875.56608694419,9.56382526736384,"SCN3A"
